編號,類別,時間,標題,內容
11,鴻海新聞,1/4/2016 16:14,郭董回應小學生請求,台北市北投區大屯國小一名小二學生看完電影《老鷹想飛》，寫信請郭台銘幫忙，鴻海下午在土城總部舉行記者會，由郭台銘親自出席回應小朋友的訴求。
12,鴻海新聞,1/5/2016 14:15,尾盤拉抬無力 期現貨逆價差拉大至50點,"美股四大指數盤中雖重挫，但尾盤強力收斂跌勢，日、韓股市今日開開低走高，撐住台指期早盤走勢，甚至一度反攻至8,130點，但盤中多空激戰，午盤過後滑落至平盤之下，多頭企圖以現股為主帶動台指期，但期貨未能跟進。台指期收盤為8025點，下跌48點，成交量161,606口，期現貨逆價差為50.11 點。 今日在日韓股市開低走高帶領下，台期指開高，但因投資人擔心陸股走勢，9點半之前，台指期出現震盪，在平盤上下起伏；因大陸股市的B股領漲，激勵投資人信心，台指期往上攻至盤中高點8,130 點，早盤出現每分鐘千口以上大單激戰，10點左右的成交接近10萬口左右。 10點達到高點8,130點後，台指期出現獲利回吐賣壓而下滑，隨後在11點再度攀升至8,100點，但缺乏追價買盤，隨著現貨買壓加重而一路下挫，午盤過後更在金融股出現賣壓之下而挫低，期現貨賣壓也隨之擴大。 台指期在8,250點存有上檔反壓，使得今日盤中挑戰8,150點即出現賣壓，低檔在8,000點有整數關卡支撐，但尾盤的台指期與現貨價差仍大，台指期的賣壓顯得相對較重。 類股期指表現，以昨日跌幅較大的非金電反彈較大，盤中雖不敵賣壓，仍可維持在平盤上下。電子期指早盤受到電子權值股有護盤買單而走強，但午盤過後也受到台積電（2330）、鴻海（2317）等股走弱下而翻黑，成交量隨盤勢震盪而擴增。 原本金融期指早盤亦呈現跌深反彈走勢，但午盤過後，富邦金（2881）、國泰金（2882）、元大金（2884）等股轉弱走低，拉低金融期指的走勢。"
13,鴻海新聞,1/4/2016 21:59,郭董問為何找他打廣告 小學生：你有錢,鴻海董事長郭台銘今出面回應小學生希望郭董幫《老鷹想飛》打廣告的訴求，他笑著問小學生：「你為什麼希望我要幫老鷹打廣告？」寫信的陳姓小學生童言無忌地回答：「因為我們家沒錢！」小學生說：因為我知道他（郭台銘）有兆元（財產），所以不可能花完！
14,鴻海新聞,1/5/2016 3:46,鴻海績優 郭台銘：今年會再加薪,"鴻海去年12月與去年第4季，及去年全年營收有望同步攻頂，粉碎外界看壞蘋果iPhone銷售傳言。鴻海董事長郭台銘昨（4）日也在2016年第一個上班日對員工釋出利多，強調「今年會再加薪」。雖然外界普遍保守看今年景氣，但郭台銘還是充滿幹勁。郭台銘透露，今天一早就要赴美繼續「拚訂單」。鴻海預計本周公布去年12月和全年營收，郭台銘先前預估，2015年業績將較2014年成長一成，法人估算，鴻海去年12月營收可望站穩5,000億元大關，續寫新猷，帶動去年第4季營收突破1.5兆元，攀上去年全年單季高峰，也是歷史新高。鴻海去年10月在iPhone出貨助攻下，單月營收一口氣超越5,000億元大關之後，去年11月營收持續衝高至5,175.19億元，月增2.8%，年增0.5%，刷寫歷年新猷；去年前11月營收達4兆734.41億元，亦創歷年同期新高。法人看好，鴻海12月營收續揚帶動下，去年全年營收年成長10%目標可望輕鬆達陣，年營收將是歷年最佳。郭台銘強調，鴻海今年會再為員工加薪。郭董並未透露加薪幅度，市場認為，鴻海2013年平均加薪幅度約6%，2014至2015年雖然公開加薪幅度，但幅度應該不小，今年持續加薪，反映郭台銘對員工的重視，預估鴻海台灣員工約6,500至7,000人可望受惠。"
15,鴻海新聞,1/5/2016 18:54,郭台銘助老鷹想飛 吳念真感激,一名國小二年級學生寄信給鴻海董事長郭台銘，請他幫忙讓紀錄片「老鷹想飛」重新被媒體鎂光燈注意。擔任這部片配音的導演吳念真，今天在臉書感謝郭台銘為孩子們所做的事。一名國小二年級學生看了紀錄片「老鷹想飛」感動哭了，還寫信請郭台銘幫忙讓大家都能看見這部片，郭台銘昨天也舉辦記者會，將買下公播權、贊助紀錄片下鄉播放計畫，讓全國更多國中小學生關心生態。擔任「老鷹想飛」配音員的吳念真，今天也在臉書上向郭台銘說聲謝謝，「謝謝你願意聆聽孩子們的心聲，並且慷慨地讓他們的願望實現。」吳念真指出，「聆聽孩子們的心聲很重要，因為願意聆聽、並在能力範圍裡幫他們實現願望，他們就願意跟你接近、跟你說實話、跟你當朋友、並且願意信任，因此願意和你一起走長長遠遠的路，謝謝你為孩子們所做的事，無比感激。」
16,鴻海新聞,1/5/2016 18:54,郭董買《老鷹想飛》公播權 讓吳念真感動致謝,一封小學生的信，讓鴻海董事長郭台銘二話不說買下《老鷹想飛》公播權，在全台灣中小學播映。導演吳念真大為感動，今天在臉書（facebook）上公開向郭台銘致謝。吳念真寫道：「郭董事長，聽說董座現在並不在台灣，而且大概也沒上臉書的習慣，但無論如何還是要在這裡誠心地跟您說聲：謝謝！」吳念真表示，雖然自己只是這部片子的配音員，但「謝謝你願意聆聽孩子們的心聲，並且慷慨地讓他們的願望實現。我說的是《老鷹想飛》的公播權這件事。」郭董事長： 聽說董座現在並不在台灣，而且大概也沒上臉書的習慣，但無論如何還是要在這裡誠心地跟您說聲：謝謝！因為我相信您身邊應該有人會接觸臉書，也願意幫我傳達謝意，雖然我只是這部片子的配音員。 謝謝你願意聆聽孩子們的心聲，...由吳念真貼上了 2016年1月5日吳念真寫道，「聆聽孩子們的心聲很重要，因為願意聆聽、並在能力範圍裡幫他們實現願望，他們就願意跟你接近、跟你說實話、跟你當朋友、並且願意信任，因此願意和你一起走長長遠遠的路。」吳念真還說，「這您一定比許多和我們年齡相近的人都理解，因為其他人和孩子們的距離都已經遠了，遠得忘了他們的存在、他們的需求和渴望，甚至遠得都忘了自己也曾經是個孩子、曾經年輕。謝謝你為孩子們所做的事，無比感激！」吳念真說，郭董事長大概沒上臉書的習慣，但「我相信您身邊應該有人會接觸臉書，也願意幫我傳達謝意。」吳念真感謝文一貼出，不到半小時即擁入上萬個「讚」，網友看了大為感動紛紛留言，有網友說「郭董不是藍，吳導也不是綠!!我們都愛這塊土地」，也有網友寫：「有錢沒啥了不起，為孩子做任何事，才是了不起」、「這件事真的反轉我對他的印象」、「郭董真的是有在替社會做事的企業家。」
17,鴻海新聞,1/5/2016 13:02,富爸爸加持！樺漢去年12月營收再創高,在有鴻海集團背景的加持下，樺漢科技成為去年工業電腦(IPC)產業最傳奇的個股，自結去年12月合併營收新台幣12.29億元，再創下歷史新高紀錄。樺漢去年全年合併營收正式突破百億元大關，達110.57億元、年增118.85%，表現優於市場預期。樺漢旗下網路安全廠瑞祺電去年12月業績也走高，單月合併營收3.65億元，同創單月歷史新高紀錄，累計全年合併營收35.44億元、年增31.7%。樺漢在被鴻海集團併購後，靠併購壯大自身產品力，去年業績終於大爆發，全年合併營收突破百億元，超越凌華科技成為第二大IPC廠，股價更是遠遠把研華科技拋在腦後，穩居IPC股王。
18,鴻海新聞,1/5/2016 14:11,大學校長憂：陸高教茁壯 我卻漸凋零,大陸985工程、211工程大學聘用台籍博士，大學校長表示，這反映台灣高教品質和研究水準高，但也擔心「好景不常」，兩岸高教投資彼漲我消，三年後就很難說。「大陸近年高教師資需求量很大」。台科大校長廖慶榮以他熟悉的工業工程領域為例指出，10年前大陸只有20所大學有工業工程學系，現在大幅擴增至250所；去年8月在兩岸工業工程學會年會上，就有對岸大學副校長在台灣會場中「當場interview」。廖慶榮說，工業工程領域在大陸以十倍速度擴充，代表大陸製造業管理人才需求量很大。幾年前他到成都電子科技大學訪問，工業工程系一班40人全被鴻海集團包下，但近年大陸大學生畢業後，第一優先是到大陸國營企業服務，加上外商也往大陸發展，台資企業想在大陸招攬優秀人才要很拚。他評估，台灣博士生赴大陸找教職，同樣「好景不常」；前年他到香港科大訪問時，香港科大說，兩年前博士生畢業後到大陸985工程大學教書沒問題，但這兩年就不見得進得去。台灣博士生想在國內找教職，只有十分之一機會，不妨往東南亞、大陸找機會，這也是台灣高教影響力的延伸。多次到大陸進行高教交流的南華大學校長林聰明也說，近年大陸除了用年薪人民幣100至150萬(台幣500至750萬元)向台灣挖角資深教授，也聘用台灣年輕博士，年輕學者月薪雖只有台幣五、六萬元，但發揮空間大。曾任教育部次長的林聰明，對台灣博士西進大陸一則以喜、一則以憂；因為雖然台灣高教影響力向大陸延伸，但「對岸在茁壯，我們在凋零」，再這樣下去對台灣是危機。但他說，問題出在「我們自己不長進，不能怪人家」，台灣整體經濟不起來，年輕人找不到機會，唯有拚經濟，國力強，高教才會強。
19,鴻海新聞,1/5/2016 19:00,郭台銘力助老鷹想飛 吳念真說無比感激,鴻海董事長郭台銘力助「老鷹想飛」記錄片，為「老鷹想飛」獻聲旁白的導演吳念真，也在臉書上向郭董說謝謝你為孩子們所做的事，無比感激！吳念真在臉書上說，「郭董事長，聽說董座現在並不在台灣，而且大概也沒上臉書的習慣，但無論如何還是要在這裡誠心地跟您說聲：謝謝！」吳念真表示，對於「老鷹想飛」的公播權這件事，謝謝郭董願意聆聽孩子們的心聲，並且慷慨地讓他們的願望實現。吳念真說，聆聽孩子們的心聲很重要，因為願意聆聽、並在能力範圍裡幫他們實現願望，他們就願意跟你接近、跟你說實話、跟你當朋友、並且願意信任，因此願意和你一起走長長遠遠的路。吳念真說，「這您一定比許多和我們年齡相近的人都理解，因為其他人和孩子們的距離都已經遠了，遠得忘了他們的存在、他們的需求和渴望，甚至遠得都忘了自己也曾經是個孩子、曾經年輕。」台北市北投區大屯國小去年10月邀請台灣猛禽研究會演講，播放「老鷹想飛」預告片，一名二年甲班小男生陳冠聿看完預告後哭了，聽說影片票房不好將下檔，主動跟老師反應想寫信請郭台銘幫忙。結果陳冠聿的其他同學都一起寫信了。郭台銘聞訊後非常感動，1月4日下午邀請這群小朋友到鴻海總部相見歡。郭台銘也親自簽名回信給小朋友。郭台銘在信中跟小朋友說，「我收到你們的信了，這份愛護台灣的心意讓我很感動，我還沒有看過老鷹想飛這部電影，有機會想邀請更多小朋友們陪我一起看。」郭台銘在信中說，永齡基金會正在和導演和製作團隊談播映權，未來有更長的時間，能在三創生活園區、或有興趣的中小學，都可以播放這部值得大家來看的好電影。
20,鴻海新聞,1/6/2016 12:20,蘋概股重災區！百檔概念股領跌大市,美國蘋果（Apple）利空消息頻傳，繼日前多家外資分析師下修蘋果iPhone6s系列出貨展望後，近日又傳蘋果今年首季或削減iPhone產量達三成，消息導致蘋果股價重挫2.5%，逾170檔台灣蘋概股重傷倒地、近百家iPhone概念股走疲，不只大立光重挫跌停，可成、F-TPK、和碩、F-臻鼎等，亦跌逾5-10%之多。蘋果臉色發青，蘋概股今成重災區！原先小跌開出的台股，在臨近中午時跌勢不斷擴大，盤中摔破8000點大關，蘋果概念股成為殺盤重心。台灣之光大立光遭空方摜至跌停、下探1900元支撐，股價創2014年5月15日以來新低。股王落難，其他蘋概股也難飄香，近月來積極舉辦法說會的可成跟進跌停，F-TPK、F-臻鼎、和碩、玉晶光、華通、台郡、緯創等亦有5-10%跌幅，權值股台積電、鴻海、聯發科等亦挫逾1-2%，電子股一片黯淡。日經新聞報導指出，蘋果原先告知供應商今年一至三月將iPhone 6s與6s Plus產能維持與前一代相同水準，然而中國大陸及歐洲市場零售店銷量不如預期、庫存難減，因此蘋果今年首季不排除將最新iPhone機型產量削減30%之多。蘋果股價5日以重挫2.5%、每股102.71美元作收；該公司2015年全年跌4.64%，但去年高點一度達134.54美元創歷史新猷、低位則下探92美元。
